iso1,iso2,group,community
-29.63813,9.23527,2,9
-29.06793,9.65759,2,9
-28.0968655,9.11675,2,9
-28.50513,9.87898,2,9
-27.55177,9.39742,2,9
-28.7277,8.97828,2,9
-27.17253,9.65907,2,9
-25.93063,9.67413,2,9
-28.91356,10.04552,2,9
-28.63752,9.57998,2,9
-26.123435,11.05959,2,9
-27.46785,9.77881,2,9
-27.6614,9.48779,2,9
-25.3078218,10.57659,2,9
-29.8395,8.94671,2,9
-25.64922,10.60151,2,9
-29.8064193,10.17266,2,9
-27.37811,10.14472,2,9
-27.15397,9.52124,2,9
-28.61207,8.67223,2,9
-25.8355317,11.39525,2,9
-27.75385,10.66679,2,9
-27.61725,10.60069,2,9
-25.997265,10.58071,2,9
-25.23367,10.76009,2,9
-26.3622677,9.37367,2,9
-25.69292,10.7228,2,9
-26.83283,10.4656,2,9
-25.0036,11.14169,2,9
-25.12107,10.38857,2,9
-23.40166,11.55791,2,9
-24.64073,11.54702,2,9
-27.21264,10.43969,2,9
-24.41526,10.91041,2,9
-28.31809,10.14759,2,9
-25.72604,11.64876,2,9
-24.7684456,11.42495,2,9
-24.27342,10.76439,2,9
-23.7627,12.1321,2,9
-23.57346,11.7544,2,9
-26.30594,10.80863,2,9
-26.95959,10.5808,2,9
-24.27846,11.44688,2,9
-25.08185,10.88391,2,9
-23.9797779,11.44857,2,9
-24.2411825,11.0387,2,9
-26.12696,11.2996,2,9
-26.21141,10.92794,2,9
-23.42531,11.6519,2,9
-26.93789,10.18611,2,9
-23.96497,11.53891,2,9
-24.04549,11.87015,2,9
-27.49209,10.01674,2,9
-27.5471686,11.09404,2,9
-25.42108,10.72472,2,9
-26.76031,10.93576,2,9
-22.26308,11.13722,2,9
-23.89342,12.43278,2,9
-24.1305,13.18641,1,10
-24.40868,11.98417,1,10
-24.35112,12.65472,1,10
-26.11662,12.31346,1,10
-27.67522,12.67853,1,10
-24.95316,12.12023,1,10
-26.63063,12.4862,1,10
-25.30606,12.8529,1,10
-24.29476,12.16231,1,10
-23.66221,12.64092,1,10
-23.66176,12.46552,1,10
-22.63589,13.64077,1,10
-24.45104,12.98159,1,10
-24.76503,12.22774,1,10
-27.37322,9.19146,2,10
-29.35828,9.42595,2,10
-28.31573,9.67668,2,10
-30.35834,10.21711,2,10
-27.28841,10.05472,2,10
-27.4084609,9.89131,2,10
-29.01772,8.51833,2,10
-28.35117,9.79008,2,10
-27.23196,9.83813,2,10
-26.03056,10.12202,2,10
-26.07129,10.28075,2,10
-30.76017,9.18687,2,10
-27.13955,10.26621,2,10
-28.66517,9.96479,2,10
-29.72348,10.10627,2,10
-28.25071,9.50695,2,10
-27.03078,10.03594,2,10
-28.3010619,9.82709,2,10
-28.59137,10.2169,2,10
-24.614138,11.38071,2,10
-29.74882,10.92809,2,10
-28.20179,10.44215,2,10
-26.42332,10.20527,2,10
-24.788295,10.75202,2,10
-28.27077,10.36942,2,10
-27.68838,10.60233,2,10
-27.08217,10.07738,2,10
-27.86655,10.91386,2,10
-24.88466,10.25366,2,10
-27.74939,10.39627,2,10
-26.81466,10.99631,2,10
-27.71393,11.07858,2,10
-26.97575,10.69655,2,10
-28.2793669,10.83978,2,10
-25.25073,11.26326,2,10
-24.88763,10.41973,2,10
-26.46964,10.22781,2,10
-25.3928,11.2501,2,10
-29.18772,10.35381,2,10
-24.7259,11.98399,2,10
-25.29345,11.59169,2,10
-24.17424,11.14503,2,10
-24.4585,11.1564,2,10
-26.68637,10.96005,2,10
-27.34348,11.33694,2,10
-26.04277,11.14435,2,10
-27.66458,10.70527,2,10
-24.38275,12.1989,2,10
-28.23096,11.26431,2,10
-27.70614,10.51995,2,10
-25.20142,11.65767,2,10
-26.86603,11.45785,2,10
-24.74115,10.89446,2,10
-26.12618,11.7349,2,10
-25.47051,10.63158,2,10
-24.9268,11.90973,2,10
-24.89288,11.70229,2,10
-26.08213,10.72286,2,10
-25.94237,10.84268,2,10
-26.74287,10.07237,2,10
-27.99143,10.73631,2,10
-29.52672,11.88186,2,10
-26.84963,11.78035,1,11
-28.19102,11.85852,1,11
-27.92709,11.91157,1,11
-27.61157,12.83142,1,11
-26.29427,12.17347,1,11
-29.5453064,11.25348,1,11
-29.06974,12.16525,1,11
-27.16643,12.10952,1,11
-25.02473,12.43328,1,11
-29.81993,11.74437,1,11
-27.72076,12.84205,1,11
-24.18859,12.59726,1,11
-27.92174,12.18212,1,11
-25.69194,12.81396,1,11
-25.10429,13.38377,1,11
-28.67324,10.01481,2,11
-28.02624,10.65468,2,11
-30.44921,10.26342,2,11
-26.6557,10.96757,2,11
-25.32188,11.08556,2,11
-27.13212,10.56532,2,11
-29.60565,10.43346,2,11
-29.6692,9.5638,2,11
-25.49938,10.821,2,11
-29.0893,10.46245,2,11
-29.15287,10.70914,2,11
-29.4016,10.59128,2,11
-27.9443,10.58454,2,11
-27.59645,10.43379,2,11
-26.58084,10.98176,2,11
-29.31828,10.82913,2,11
-28.74053,10.36943,2,11
-26.08301,11.45577,2,11
-29.98261,9.61111,2,11
-29.42409,10.95622,2,11
-29.31254,10.65633,2,11
-26.86635,11.84205,2,11
-28.6502294,11.02186,2,11
-31.22995,10.42341,2,11
-29.123,10.6199,2,11
-29.47676,10.43599,2,11
-28.9930423,10.32255,2,11
-26.48917,11.21788,2,11
-29.16266,11.14972,2,11
